Result	Trial	Arena	Assay	ChDate	Sex	LizID	Trt	TotalDist	Velocity	Social_Freq	Social_Duration	Social_LatFirst	Neutral_Freq	Neutral_Duration	Neutral_LatFirst	Asocial_Freq	Asocial_Duration	Asocial_LatFirst	NovItem_Freq	NovItem_Duration	NovItem_LatFirst	NovZone_Freq	NovZone_Duration	NovZone_LatFirst	Hide_Freq	Hide_Duration	Hide_DurationOrig	Hide_LatFirst	Entry_Freq	Entry_Duration	Entry_LatFirst	Arena_Freq	Arena_Duration	Arena_LatFirst
Result 1	Trial     6	Arena 3	Exploration	CH2_17.12.15_DVR2	F	81	High	871.458	0.726215	4	190.24	0	15	77.84	160.52	26	755.88	162.44	0	0	NA	5	9.32	594.88	14	176.08	176.08	587.6	36	459.92	170.92	1	1200.04	0
Result 1	Trial     6	Arena 4	Exploration	CH2_17.12.15_DVR2	F	80	High	318.913	0.265761	3	302.4	0	5	24.84	121.84	7	261.32	124.2	1	42.2	812.28	4	93.16	784	4	611.48	611.48	127.8	13	115.44	127.48	1	1200.04	0
Result 1	Trial     7	Arena 1	Exploration	CH3_17.12.15_DVR2	F	84	Low	903.916	0.753264	9	347.04	0	19	73.92	148.4	19	492.96	150.48	2	6.16	728.36	4	11.24	719.68	8	286.12	286.12	192.84	57	224.88	154.68	1	1200.04	0
Result 1	Trial     7	Arena 2	Exploration	CH3_17.12.15_DVR2	F	57	Low	718.506	0.598755	6	133.44	0	12	29.48	23.88	24	477.84	27.12	2	3.08	488.72	5	7.36	486.12	17	559.28	559.28	93.24	39	126.76	91.76	1	1200.04	0
Result 1	Trial     7	Arena 3	Exploration	CH3_17.12.15_DVR2	M	92	High	736.699	0.613916	6	763.48	0	12	30.56	584.44	11	343.08	586.2	0	0	NA	1	252.84	0	4	62.92	62.92	718.28	10	43.28	710.28	1	1200.04	0
Result 1	Trial     7	Arena 4	Exploration	CH3_17.12.15_DVR2	F	66	High	68.2624	0.0568853	1	477.64	0	1	2.92	477.64	2	2.36	480.56	1	1.2	475.52	2	3.08	473.6	2	717.12	717.12	482.84	2	1.48	481.44	1	1200.04	0
Result 1	Trial     8	Arena 1	Exploration	CH4_17.12.15_DVR2	M	36	High	193.566	0.161305	1	838.84	0	4	23	838.84	11	84.24	841.72	1	0.8	837.88	5	2.72	836.6	7	253.96	253.96	844.76	12	17.84	843.84	1	1200.04	0
Result 1	Trial     8	Arena 2	Exploration	CH4_17.12.15_DVR2	F	90	High	418.174	0.348478	5	354.4	0	10	42.8	300.24	8	400.24	304.76	2	4.04	867.4	7	21.12	801.16	2	402.6	402.6	382.72	30	265.4	323.48	1	1200.04	0
Result 1	Trial     8	Arena 3	Exploration	CH4_17.12.15_DVR2	F	141	High	123.12	0.1026	1	218.8	0	1	4.08	218.8	19	97.52	222.88	0	0	NA	0	0	NA	19	879.64	879.64	227.64	31	63.08	226.68	1	1200.04	0
Result 1	Trial     8	Arena 4	Exploration	CH4_17.12.15_DVR2	F	54	Low	423.147	0.352622	4	272.12	0	8	36.4	209.88	15	267.16	213	3	7.32	497.12	7	18.36	495.2	11	624.36	624.36	215.52	18	53.12	215.24	1	1200.04	0
Result 1	Trial     9	Arena 1	Exploration	CH1_18.12.15_DVR2	F	134	High	47.0944	0.0392454	1	14.64	0	1	1.36	14.64	1	21.72	16	0	0	NA	0	0	NA	1	1162.32	1162.32	37.72	3	19.36	18.04	1	1200.04	0
Result 1	Trial     9	Arena 2	Exploration	CH1_18.12.15_DVR2	M	24	High	587.633	0.489694	6	123.88	0	15	127.12	28.28	19	648.2	37.24	6	14.6	237.48	25	48.4	227.4	9	300.84	300.84	274.88	41	295.28	44.92	1	1200.04	0
