,Trial,Arena,Assay,ChDate,Sex,LizID,Trt,TotalDist,Velocity,Hide_Freq,Hide_Duration,Hide_DurationOrig,Hide_LatFirst,Entry_Freq,Entry_Duration,Entry_LatFirst,NovItem_Freq,NovItem_Duration,NovItem_LatFirst,NovZone_Freq,NovZone_Duration,NovZone_LatFirst,Social_Freq,Social_Duration,Social_LatFirst,Neutral_Freq,Neutral_Duration,Neutral_LatFirst,Asocial_Freq,Asocial_Duration,Asocial_LatFirst,Arena_Freq,Arena_Duration,Arena_LatFirst
Result 1,Trial    82,Arena 1,Exploration,CH2_08.01.16_DVR3,M,0070,High,263.899,0.219916,8,445.88,445.88,500.52,12,12.12,499.52,2,46.8,975.48,8,27.04,973.88,3,623.2,0,5,55.4,493.96,11,75.56,498.28,1,1200.04,0
Result 1,Trial    82,Arena 2,Exploration,CH2_08.01.16_DVR3,F,0072,Low,84.4413,0.0703677,5,773.44,773.44,426.32,5,1.88,424.72,0,0,-,1,1.8,397.6,1,414.12,0,1,4.88,414.12,5,7.6,419,1,1200.04,0
Result 1,Trial    82,Arena 3,Exploration,CH2_08.01.16_DVR3,F,0122,High,78.983,0.0658192,1,748.8,748.8,451.24,1,2.16,449.08,0,0,-,0,0,-,1,444.04,0,1,3.04,444.04,1,4.16,447.08,1,1200.04,0
Result 1,Trial    82,Arena 4,Exploration,CH2_08.01.16_DVR3,M,0104,High,348.888,0.29074,13,307.28,307.28,528.36,21,235.48,528.12,1,3.6,1093.2,4,5.52,1089.44,3,595.72,0,8,14.92,525.24,19,282.12,528.12,1,1200.04,0
Result 1,Trial    83,Arena 1,Exploration,CH3_08.01.16_DVR3,F,0085,High,713.989,0.594991,47,164.8,164.8,304.56,52,201.28,303.64,5,73.4,233.28,14,104.6,224.88,9,593.56,0,17,87.8,288.76,56,353.88,302.72,1,1200.04,0
Result 1,Trial    83,Arena 2,Exploration,CH3_08.01.16_DVR3,F,0091,Low,446.215,0.371846,39,698.36,698.36,86.2,46,267.44,84.88,1,0.88,658.52,2,0.96,658,5,98.04,0,9,35.96,56.88,44,367.68,59.04,1,1200.04,0
Result 1,Trial    83,Arena 3,Exploration,CH3_08.01.16_DVR3,F,0139,Low,87.7945,0.0731621,5,213.64,213.64,963.44,6,27.76,958.64,0,0,-,0,0,-,1,952.52,0,1,4.24,952.52,6,29.64,956.76,1,1200.04,0
Result 1,Trial    83,Arena 4,Exploration,CH3_08.01.16_DVR3,M,0133,High,737.742,0.614785,61,431.92,431.92,152.2,62,210.92,151.68,3,95.88,57.68,10,88.2,0,6,205.68,0,14,65.96,150.36,70,496.48,151.48,1,1200.04,0
Result 1,Trial    84,Arena 1,Exploration,CH4_08.01.16_DVR3,M,0042,High,367.315,0.306095,24,711.36,711.36,203.8,32,191.32,202.96,1,2.12,813.12,4,8.04,812.24,4,230.92,0,8,35.6,183.64,29,222.16,202.12,1,1200.04,0
Result 1,Trial    84,Arena 2,Exploration,CH4_08.01.16_DVR3,F,0098,High,888.944,0.740786,42,197.2,197.2,229.76,62,156.36,226.88,3,11.2,178.72,13,47.16,175.72,11,380.4,0,21,186.04,182,53,436.4,216.48,1,1200.04,0
Result 1,Trial    84,Arena 3,Exploration,CH4_08.01.16_DVR3,F,0079,High,36.3518,0.0302932,1,679.08,679.08,520.96,1,1.32,519.64,0,0,-,35,409.96,5.16,1,505.8,0,1,6.92,505.8,1,8.24,512.72,1,1200.04,0
Result 1,Trial    84,Arena 4,Exploration,CH4_08.01.16_DVR3,F,0130,Low,253.726,0.211438,8,766.44,766.44,227.64,9,21.88,226.8,5,28.68,984.2,12,22.56,223.28,4,336.72,0,6,42.2,225.56,10,54.68,226.36,1,1200.04,0
Result 1,Trial    85,Arena 1,Exploration,CH1_09.01.16_DVR3,F,0086,High,682.517,0.568764,17,208.48,208.48,140.08,37,208.64,136.72,2,19.48,422.84,8,61,420.96,6,361.36,0,16,242.24,128.8,27,387.96,131.08,1,1200.04,0
Result 1,Trial    85,Arena 2,Exploration,CH1_09.01.16_DVR3,F,0082,Low,480.125,0.400104,6,9.52,9.52,936.92,12,256.52,799.76,0,0,-,1,2.28,1161.56,5,760.68,0,7,24.24,694.16,9,405.6,736.28,1,1200.04,0
Result 1,Trial    85,Arena 3,Exploration,CH1_09.01.16_DVR3,F,0073,Low,94.3003,0.0785836,6,1013.48,1013.48,160.32,8,21.4,159.24,0,0,-,0,0,-,1,153.24,0,1,2.92,153.24,6,30.4,156.16,1,1200.04,0
Result 1,Trial    85,Arena 4,Exploration,CH1_09.01.16_DVR3,F,0121,High,430.717,0.358931,12,622.92,622.92,229.24,15,44.32,208.36,2,1.68,695.04,9,15.56,694.56,6,402.24,0,10,80.8,179.88,16,94.08,196.08,1,1200.04,0
Result 1,Trial    86,Arena 1,Exploration,CH2_09.01.16_DVR3,M,0070,High,482.45,0.402042,24,391.08,391.08,173.96,42,233.16,173.12,5,17.28,542.28,10,21,539.48,6,379.16,0,11,30.76,169.36,30,399.04,171.64,1,1200.04,0
Result 1,Trial    86,Arena 2,Exploration,CH2_09.01.16_DVR3,F,0072,Low,300.256,0.250213,14,602.56,602.56,303.16,19,194.48,300.96,3,3.08,285.12,6,8.16,284.56,3,361.6,0,5,16.52,286.12,16,219.36,289.4,1,1200.04,0
Result 1,Trial    86,Arena 3,Exploration,CH2_09.01.16_DVR3,F,0122,High,585.15,0.487625,32,529.28,529.28,177.8,36,145.92,177.24,3,3.96,662.8,9,68.4,495.72,7,379.52,0,13,42.56,172.6,38,248.68,176.72,1,1200.04,0
Result 1,Trial    86,Arena 4,Exploration,CH2_09.01.16_DVR3,M,0104,High,253.304,0.211086,8,495.04,495.04,656.64,19,6.08,656.16,0,0,-,1,32.4,475.8,2,643.52,0,2,11.08,617.4,8,50.4,654.6,1,1200.04,0
Result 1,Trial    87,Arena 1,Exploration,CH3_09.01.16_DVR3,F,0085,High,363.718,0.303098,16,547.08,547.08,245.32,20,183.64,243,2,5.36,640.16,6,29.12,637,4,340.36,0,7,77.68,202.48,19,234.92,242.12,1,1200.04,0
Result 1,Trial    87,Arena 2,Exploration,CH3_09.01.16_DVR3,F,0091,Low,65.1463,0.0542886,5,209.8,209.8,976.88,6,906.76,72.44,0,0,-,0,0,-,1,67.04,0,2,10.92,67.04,6,912.28,72.32,1,1200.04,0
Result 1,Trial    87,Arena 3,Exploration,CH3_09.01.16_DVR3,F,0139,Low,40.0157,0.0333464,1,1087.6,1087.6,112.44,1,0.2,112.24,0,0,-,0,0,-,1,91.84,0,1,19.88,91.84,1,0.72,111.72,1,1200.04,0
Result 1,Trial    87,Arena 4,Exploration,CH3_09.01.16_DVR3,M,0133,High,482.222,0.401851,13,706.08,706.08,241.84,24,80.48,240,1,1.08,910.24,5,9.76,908.72,4,294,0,8,29.56,237.24,17,170.4,238.76,1,1200.04,0
Result 1,Trial    88,Arena 1,Exploration,CH4_09.01.16_DVR3,M,0042,High,438.184,0.366608,28,557.88,553.24,239.24,37,136.32,238.68,2,3.28,934.2,6,25.68,835.76,5,352.96,0,10,54,236.92,34,235.2,238,1,1195.4,0
Result 1,Trial    88,Arena 2,Exploration,CH4_09.01.16_DVR3,F,0098,High,507.878,0.426788,6,226.6,216.72,500.84,12,393.2,327.28,2,2.8,390.12,7,15.44,320.28,6,349.36,0,13,90.16,257.2,14,533.92,272.6,1,1190.16,0
Result 1,Trial    88,Arena 3,Exploration,CH4_09.01.16_DVR3,F,0079,High,247.722,0.206497,2,0.88,0.64,1049.96,6,900.48,34.08,0,0,-,1,5.52,1145.84,3,74.04,0,7,36.28,27.08,7,1088.84,27.88,1,1199.8,0
Result 1,Trial    88,Arena 4,Exploration,CH4_09.01.16_DVR3,F,0130,Low,329.073,0.274228,25,973.36,973.36,44.52,31,54.36,44.32,1,1.56,1016.28,4,51.4,0,4,97.24,0,8,28.08,42.6,30,101.36,43.44,1,1200.04,0
Result 1,Trial    89,Arena 1,Exploration,CH1_10.01.16_DVR3,F,0086,High,442.874,0.369062,15,624.72,624.72,153.64,22,58.96,152.8,3,3.52,897.16,11,119.52,896.28,4,248.04,0,8,191.16,128.56,20,136.12,151.04,1,1200.04,0
Result 1,Trial    89,Arena 2,Exploration,CH1_10.01.16_DVR3,F,0082,Low,1889.03,1.57419,71,352.88,352.88,313.08,87,61.56,313.36,2,0.56,974.32,8,2.52,874.84,18,440.04,0,39,70.68,299.32,93,336.44,302.32,1,1200.04,0
Result 1,Trial    89,Arena 3,Exploration,CH1_10.01.16_DVR3,F,0073,Low,61.195,0.0509958,4,910.24,910.24,289.64,4,0.48,289.32,0,0,-,0,0,-,1,286.44,0,1,2.44,286.44,4,0.92,288.88,1,1200.04,0
Result 1,Trial    89,Arena 4,Exploration,CH1_10.01.16_DVR3,F,0121,High,673.47,0.561225,7,127.92,127.92,456.04,20,83.72,455.24,3,3.4,439.16,9,23.08,437.72,9,688.2,0,14,93.52,440.24,13,290.4,454.6,1,1200.04,0
Result 1,Trial    90,Arena 1,Exploration,CH2_10.01.16_DVR3,M,0070,High,274.139,0.228449,11,334.56,334.56,396.88,15,249,395.16,2,3.56,686.68,4,8.12,685.08,3,420.6,0,6,36.56,393.04,15,408.32,394.16,1,1200.04,0
Result 1,Trial    90,Arena 2,Exploration,CH2_10.01.16_DVR3,F,0072,Low,210.545,0.175466,24,856.92,856.92,188.96,22,109.04,187.24,0,0,-,0,0,-,2,210.08,0,3,6.8,180.56,25,126.24,181.84,1,1200.04,0
Result 1,Trial    90,Arena 3,Exploration,CH2_10.01.16_DVR3,F,0122,High,638.095,0.531746,57,436.64,436.64,185.16,61,159.28,184.56,6,12.68,596.92,17,32.12,175.24,7,446.48,0,13,54.68,177.68,63,262.24,183.68,1,1200.04,0
Result 1,Trial    90,Arena 4,Exploration,CH2_10.01.16_DVR3,M,0104,High,392.319,0.326943,32,164.68,164.68,836.88,35,184.8,836.52,2,3.48,514.96,5,12.8,510.72,3,833.56,0,3,12.52,721.24,33,189.28,835.36,1,1200.04,0
Result 1,Trial    91,Arena 1,Exploration,CH3_10.01.16_DVR3,F,0085,High,396.217,0.330181,14,100.32,100.32,533.6,20,235.76,532.72,6,17.4,509.84,13,108.16,479.52,6,692.76,0,10,83.92,521.84,19,323.04,528.2,1,1200.04,0
Result 1,Trial    91,Arena 2,Exploration,CH3_10.01.16_DVR3,F,0091,Low,362.579,0.302149,28,773.6,773.6,179.68,38,164.36,178.4,2,1.28,847.16,4,2.64,846.68,4,202.92,0,8,16.36,168.36,32,207.16,170.84,1,1200.04,0
Result 1,Trial    91,Arena 3,Exploration,CH3_10.01.16_DVR3,F,0139,Low,643.631,0.536359,9,238.44,238.44,711.04,19,85.56,319.84,3,12.8,228.92,18,74,228.2,8,539.6,0,14,127,235.8,16,295,242.72,1,1200.04,0
Result 1,Trial    91,Arena 4,Exploration,CH3_10.01.16_DVR3,M,0133,High,404.544,0.33712,13,957.88,957.88,64.96,16,56.56,63.28,4,11.64,971.44,9,12.36,970.68,4,98.44,0,7,49,50.28,16,94.72,57.76,1,1200.04,0
Result 1,Trial    92,Arena 1,Exploration,CH4_10.01.16_DVR3,M,0042,High,710.659,0.592216,22,391.04,391.04,242.28,34,81.28,242.04,7,13,626,20,102.92,238.04,9,528.56,0,16,112.72,241.48,29,167.72,241.88,1,1200.04,0
Result 1,Trial    92,Arena 2,Exploration,CH4_10.01.16_DVR3,F,0098,High,771.888,0.64324,72,147.08,147.08,454.92,79,436.52,211.28,3,5.08,566.68,12,62.84,559.04,10,353.76,0,18,73.68,29.8,80,625.52,31.88,1,1200.04,0
Result 1,Trial    92,Arena 3,Exploration,CH4_10.01.16_DVR3,F,0079,High,135.024,0.11252,1,568.92,568.92,631.12,3,5.44,621.16,0,0,-,1,12.92,582.64,1,596.24,2.8,2,23,0,1,11.88,619.24,1,1200.04,0
Result 1,Trial    92,Arena 4,Exploration,CH4_10.01.16_DVR3,F,0130,Low,253.481,0.211234,11,812.76,812.76,206.56,15,48.36,206.28,1,1.52,969.48,5,20.52,204.92,4,259,0,6,34.2,205.36,14,94.08,205.8,1,1200.04,0
Result 1,Trial    93,Arena 1,Exploration,CH1_11.01.16_DVR3,F,0086,High,396.503,0.330419,13,712.84,712.84,119.88,20,23.8,119.16,5,16.44,598.32,10,71.56,593.16,5,266.28,0,11,91.16,101.56,19,129.76,114.8,1,1200.04,0
Result 1,Trial    93,Arena 2,Exploration,CH1_11.01.16_DVR3,F,0082,Low,335.753,0.279794,15,677.12,677.12,254.92,20,111.52,254.16,1,1.28,785.68,5,52.76,212,4,328.16,0,7,34.4,245.44,18,160.36,252.28,1,1200.04,0
Result 1,Trial    93,Arena 3,Exploration,CH1_11.01.16_DVR3,F,0073,Low,296.422,0.247018,14,740.68,740.68,307.84,23,73.76,306.96,1,2.8,300.88,6,9.92,299.76,3,331.8,0,6,22.48,303.88,17,105.08,306.12,1,1200.04,0
Result 1,Trial    93,Arena 4,Exploration,CH1_11.01.16_DVR3,F,0121,High,552.218,0.460182,31,556.72,556.72,122.56,36,164.48,119.48,1,4.24,515.64,3,26.76,515.24,5,322.4,0,11,43.32,102.96,37,277.6,106.84,1,1200.04,0
Result 1,Trial    94,Arena 1,Exploration,CH2_11.01.16_DVR3,M,0070,High,321.259,0.267716,25,501.24,501.24,63.72,60,240.04,63.32,2,2.4,906.88,5,80.92,611.76,4,180.32,0,8,37.96,60.72,29,480.52,61.76,1,1200.04,0
Result 1,Trial    94,Arena 2,Exploration,CH2_11.01.16_DVR3,F,0072,Low,509.108,0.424257,13,895,895,16.16,23,20.04,15.96,3,7.52,889.96,9,20.28,535.36,5,128.36,0,9,27.28,9.52,17,149.4,10.52,1,1200.04,0
Result 1,Trial    94,Arena 3,Exploration,CH2_11.01.16_DVR3,F,0122,High,32.6532,0.027211,1,1099.52,1099.52,100.52,1,0.4,100.12,1,6.24,88,2,2.2,86.92,1,96.48,0,1,2.72,96.48,1,1.32,99.2,1,1200.04,0
Result 1,Trial    94,Arena 4,Exploration,CH2_11.01.16_DVR3,M,0104,High,249.86,0.209966,4,585.68,575.8,291.36,7,274.72,291.12,1,0.28,913.88,2,4.16,911.32,2,304.68,0,3,7.4,286.6,6,302.28,289.88,1,1190.16,0
Result 1,Trial    95,Arena 1,Exploration,CH3_11.01.16_DVR3,F,0085,High,354.412,0.295344,47,576.16,576.16,227.6,57,122.92,227.4,1,8.32,690.56,2,5.76,686.36,4,54.48,0,10,51.72,0.64,53,517.68,46.12,1,1200.04,0
Result 1,Trial    95,Arena 2,Exploration,CH3_11.01.16_DVR3,F,0091,Low,240.721,0.200601,33,895.08,895.08,109.2,36,112,109.04,2,1.04,107.52,4,2.72,106.6,3,144.52,0,6,10.68,108,36,149.76,108.72,1,1200.04,0
Result 1,Trial    95,Arena 3,Exploration,CH3_11.01.16_DVR3,F,0139,Low,605.017,0.504181,32,32,32,300.56,40,171.28,300.04,5,20.04,279.84,15,65.2,277.6,10,599.16,0,16,140.76,282.2,39,428.12,298.2,1,1200.04,0
Result 1,Trial    95,Arena 4,Exploration,CH3_11.01.16_DVR3,M,0133,High,64.5755,0.0538129,7,1138.64,1138.64,58.68,7,4.88,56.52,1,0.92,38.12,2,38.52,0,1,49.92,0,1,2.88,49.92,7,8.6,52.8,1,1200.04,0
Result 1,Trial    96,Arena 1,Exploration,CH4_11.01.16_DVR3,M,0042,High,366.807,0.305672,19,781.64,781.64,154.44,36,91.88,153.64,1,1.44,799.88,6,137.8,0,4,197.72,0,8,26.36,148.12,23,194.32,152.44,1,1200.04,0
Result 1,Trial    96,Arena 2,Exploration,CH4_11.01.16_DVR3,F,0098,High,474.929,0.395774,31,742.76,742.76,0,38,144.88,196.4,2,2.28,871.6,5,9.44,64.56,7,109.24,64.56,12,76.36,125.88,35,271.68,131.96,1,1200.04,0
Result 1,Trial    96,Arena 3,Exploration,CH4_11.01.16_DVR3,F,0079,High,281.296,0.234414,16,550.6,550.6,436.44,22,49.6,424.6,1,0.08,1169.84,4,431.16,0,3,472.44,0,6,50.8,416.16,20,126.2,422.96,1,1200.04,0
Result 1,Trial    96,Arena 4,Exploration,CH4_11.01.16_DVR3,F,0130,Low,241.504,0.201254,7,946.28,946.28,92.08,12,61.6,91.64,2,4.32,915.12,5,6.44,911.44,4,149.52,0,6,30.24,88.52,9,74,90.08,1,1200.04,0
Result 1,Trial    97,Arena 1,Exploration,CH1_12.01.16_DVR3,F,0086,High,335.972,0.279977,22,606.68,606.68,135.92,29,193.12,135.44,2,3.52,756.72,6,62.92,113.8,4,202.96,0,7,104.64,131.52,25,285.76,134.6,1,1200.04,0
Result 1,Trial    97,Arena 2,Exploration,CH1_12.01.16_DVR3,F,0082,Low,246.595,0.205496,16,605,605,346.72,18,159.48,346.08,1,1.44,340.4,4,4.2,338.48,3,395.48,0,5,17.48,342,18,182.08,345.8,1,1200.04,0
Result 1,Trial    97,Arena 3,Exploration,CH1_12.01.16_DVR3,F,0073,Low,573.723,0.478103,39,779.2,779.2,166.04,59,142.16,163.6,3,1.08,158.52,7,6.72,156.56,3,171.4,0,7,25.52,160.6,43,223.92,162.12,1,1200.04,0
Result 1,Trial    97,Arena 4,Exploration,CH1_12.01.16_DVR3,F,0121,High,494.96,0.412467,23,329.56,329.56,298.92,31,256.64,298.2,3,23.2,287.36,6,25.48,285.16,8,415.2,0,12,41.56,289.4,28,413.72,296.88,1,1200.04,0
Result 1,Trial    98,Arena 1,Exploration,CH2_12.01.16_DVR3,M,0070,High,62.6651,0.0522209,3,984.68,984.68,215.24,3,3.48,211.88,0,0,-,1,6.44,202.36,1,208.72,0,1,2.08,208.72,3,4.56,210.8,1,1200.04,0
Result 1,Trial    98,Arena 2,Exploration,CH2_12.01.16_DVR3,F,0072,Low,501.999,0.418333,52,133.52,133.52,332.2,56,497.12,332.12,1,0.8,837,4,40.4,836.16,5,462.48,0,10,28.48,324.68,54,575.56,327.6,1,1200.04,0
Result 1,Trial    98,Arena 3,Exploration,CH2_12.01.16_DVR3,F,0122,High,627.439,0.522866,50,458,458,180.16,51,104.12,176.2,2,3.96,609.04,7,43.32,587.56,6,471.76,0,14,66,173.6,58,204.28,175.4,1,1200.04,0
Result 1,Trial    98,Arena 4,Exploration,CH2_12.01.16_DVR3,M,0104,High,128.133,0.108717,8,630.48,609.2,490.12,12,4.52,489.6,0,0,-,2,4,483.84,1,487.56,0,1,1.52,487.56,9,80.48,489.08,1,1178.76,0
Result 1,Trial    99,Arena 1,Exploration,CH3_12.01.16_DVR3,F,0085,High,669.416,0.557846,18,290.64,290.64,235.72,38,137.56,233.8,3,9.28,523.24,11,39.92,521.84,15,416.2,0,22,152.32,170.4,26,340.88,226.2,1,1200.04,0
Result 1,Trial    99,Arena 2,Exploration,CH3_12.01.16_DVR3,F,0091,Low,193.504,0.161254,23,982.24,982.24,96.6,26,56.56,95,0,0,-,0,0,-,4,103.48,0,6,42.92,93,25,71.4,93.56,1,1200.04,0
Result 1,Trial    99,Arena 3,Exploration,CH3_12.01.16_DVR3,F,0139,Low,590.693,0.492244,43,83.28,83.28,566.72,55,107.12,564.28,2,5.16,553.36,8,21.64,550.52,5,725,0,9,45.72,558.04,48,346.04,561.36,1,1200.04,0
Result 1,Trial    99,Arena 4,Exploration,CH3_12.01.16_DVR3,M,0133,High,643.159,0.535966,30,853.4,853.4,58.24,37,77.2,57.68,6,3.44,57.2,19,23.68,57.04,9,180.88,0,14,41.16,57.32,35,124.6,57.56,1,1200.04,0
Result 1,Trial   100,Arena 1,Exploration,CH4_12.01.16_DVR3,M,0042,High,717.007,0.597506,27,518.04,518.04,274.92,37,190.92,274.56,5,4.76,217,15,94.6,0,7,377.68,0,13,58.04,272.04,33,246.28,272.92,1,1200.04,0
Result 1,Trial   100,Arena 2,Exploration,CH4_12.01.16_DVR3,F,0098,High,360.121,0.3001,30,670.88,670.88,269.8,37,62.48,269.16,2,3.88,583.16,5,24.2,249.48,4,328.92,0,7,26.28,266.76,34,173.96,268.72,1,1200.04,0
Result 1,Trial   100,Arena 3,Exploration,CH4_12.01.16_DVR3,F,0079,High,107.368,0.0894736,3,389.72,389.72,810.24,3,0.32,810,0,0,-,1,6.44,766.36,1,779.32,0,1,5.68,779.32,3,25.32,785,1,1200.04,0
Result 1,Trial   100,Arena 4,Exploration,CH4_12.01.16_DVR3,F,0130,Low,217.095,0.180913,6,969,969,169.6,9,4,167.8,0,0,-,2,0.4,1141.44,2,210.28,0,3,7.2,165.92,7,13.56,167.16,1,1200.04,0
Result 1,Trial   101,Arena 1,Exploration,CH1_13.01.16_DVR3,F,0086,High,458.965,0.382471,18,249.72,249.72,125.56,22,532.84,125.36,8,27.48,115.24,18,72.88,114.4,13,283.72,0,17,52.84,123.04,22,613.76,124.8,1,1200.04,0
Result 1,Trial   101,Arena 2,Exploration,CH1_13.01.16_DVR3,F,0082,Low,359.042,0.299201,10,895.52,895.52,161.04,12,16.28,160.6,1,1.96,153.44,3,3.88,152.72,4,214.6,0,7,19.6,156.8,13,70.32,160.04,1,1200.04,0
Result 1,Trial   101,Arena 3,Exploration,CH1_13.01.16_DVR3,F,0073,Low,135.121,0.112601,1,970,970,230.04,1,1.64,228.4,0,0,-,0,0,-,1,225.12,0,1,1.72,225.12,1,3.2,226.84,1,1200.04,0
Result 1,Trial   101,Arena 4,Exploration,CH1_13.01.16_DVR3,F,0121,High,608.151,0.506792,42,465.84,465.84,324.36,48,165.12,323.8,3,6.64,671.84,9,22.52,315,6,474.64,0,10,33.6,319.12,46,225.96,322.72,1,1200.04,0
Result 1,Trial   102,Arena 1,Exploration,CH2_13.01.16_DVR3,M,0070,High,494.689,0.412241,21,234.2,234.2,114.48,31,554.28,113.48,2,2.24,907.52,9,118.36,652.8,5,344.88,0,9,17.48,109.92,26,603.48,111.92,1,1200.04,0
Result 1,Trial   102,Arena 2,Exploration,CH2_13.01.16_DVR3,F,0072,Low,520.121,0.433434,55,215.84,215.84,10.32,60,707.96,10.08,5,9.84,701.64,12,21.32,700.52,5,123.44,701.52,11,62.76,697.92,61,798,0,1,1200.04,0
Result 1,Trial   102,Arena 3,Exploration,CH2_13.01.16_DVR3,F,0122,High,206.834,0.172362,11,1022.44,1022.44,74.36,13,14.64,74.4,3,8.4,1109.88,6,13.16,1108.44,3,105.52,0,5,30.96,71.64,14,41.12,73.24,1,1200.04,0
Result 1,Trial   102,Arena 4,Exploration,CH2_13.01.16_DVR3,M,0104,High,266.808,0.22234,21,436.96,436.96,732.32,22,31.24,731.8,1,0.8,712.92,4,11.2,415.76,1,716.48,0,2,2.64,716.48,22,43.96,718.16,1,1200.04,0
Result 1,Trial   103,Arena 1,Exploration,CH3_13.01.16_DVR3,F,0085,High,478.793,0.398994,4,269.88,269.88,311.04,17,107.36,309.4,7,20.72,621.4,13,86.56,275.88,7,576.84,0,12,73.72,295.32,10,279.6,299.64,1,1200.04,0
Result 1,Trial   103,Arena 2,Exploration,CH3_13.01.16_DVR3,F,0091,Low,360.198,0.300165,14,757,757,133,24,173.96,132.88,0,0,-,0,0,-,4,170.08,0,10,25.12,127.88,21,247.84,132.68,1,1200.04,0
Result 1,Trial   103,Arena 3,Exploration,CH3_13.01.16_DVR3,F,0139,Low,360.708,0.30059,18,216.68,216.68,209.04,34,554.04,208.04,1,1.04,480.72,5,15.48,479.32,4,278.8,0,8,66.24,187.92,23,638.32,206.4,1,1200.04,0
Result 1,Trial   103,Arena 4,Exploration,CH3_13.01.16_DVR3,M,0133,High,477.618,0.398015,30,407.2,407.2,97.8,34,574.52,97.32,1,0.76,1182.32,8,11.16,964.72,5,132.32,0,10,27.88,96,36,632.64,96.92,1,1200.04,0
Result 1,Trial   104,Arena 1,Exploration,CH4_13.01.16_DVR3,M,0042,High,640.61,0.533931,19,817.16,816.96,53.52,29,49.84,53.24,5,2.8,681.28,12,75.44,0.2,9,168.16,0.2,19,90.92,52.16,29,123.8,52.92,1,1199.84,0.2
Result 1,Trial   104,Arena 2,Exploration,CH4_13.01.16_DVR3,F,0098,High,255.387,0.212822,30,755.64,755.64,307.24,39,83.08,304.2,2,6.16,676.92,6,179.08,0,5,311.4,0,7,29.28,271.12,32,103.72,295.16,1,1200.04,0
Result 1,Trial   104,Arena 3,Exploration,CH4_13.01.16_DVR3,F,0079,High,85.804,0.0715033,3,143.28,143.28,1056.52,3,13.6,1043.16,0,0,-,0,0,-,1,1027.24,0,1,8.52,1027.24,3,21,1035.76,1,1200.04,0
Result 1,Trial   104,Arena 4,Exploration,CH4_13.01.16_DVR3,F,0130,Low,591.606,0.493088,11,693.48,693.28,179.32,19,25.56,177.44,1,0.48,814.32,5,19.88,812.88,9,268.12,0.2,18,95.4,175.76,20,143.04,176.6,1,1199.84,0.2
Result 1,Trial   105,Arena 1,Exploration,CH1_14.01.16_DVR3,F,0086,High,513.973,0.428311,12,383.56,383.56,240.2,35,234.84,239.16,2,11.8,224.24,8,34.96,210.44,6,291.8,0,14,173.48,129.76,20,351.2,135.36,1,1200.04,0
Result 1,Trial   105,Arena 2,Exploration,CH1_14.01.16_DVR3,F,0082,Low,878.714,0.732262,29,604.08,604.08,70.16,36,122.04,49.2,1,2.24,606.44,5,6.16,605.28,9,186.32,0,17,95.6,26.92,38,314.04,30.96,1,1200.04,0
Result 1,Trial   105,Arena 3,Exploration,CH1_14.01.16_DVR3,F,0073,Low,88.5498,0.0737915,3,833.88,833.88,365.8,3,0.88,365.28,1,335.2,0,1,0.6,335.2,1,353.44,0,1,7.28,353.44,3,5.44,360.72,1,1200.04,0
Result 1,Trial   105,Arena 4,Exploration,CH1_14.01.16_DVR3,F,0121,High,834.912,0.69576,17,160.08,160.08,119.76,19,66,119.08,0,0,-,1,93.4,0,9,594.56,0,18,148.4,102.84,26,297,117.92,1,1200.04,0
Result 1,Trial   106,Arena 1,Exploration,CH2_14.01.16_DVR3,M,0070,High,464.69,0.387242,43,251.8,251.8,224.48,60,258.08,222.52,3,2.44,919.72,9,126.76,215.4,5,304.96,0,9,220.24,216.08,48,423.04,220.24,1,1200.04,0
Result 1,Trial   106,Arena 2,Exploration,CH2_14.01.16_DVR3,F,0072,Low,644.149,0.541301,42,331.8,321.92,304,49,293.36,300.8,1,1.56,980.8,7,11,540.04,7,421.48,0,11,32.6,262.24,47,414.16,269.24,1,1190.16,0
Result 1,Trial   106,Arena 3,Exploration,CH2_14.01.16_DVR3,F,0122,High,783.135,0.652613,87,581.12,581.12,90.04,90,173.76,89.44,3,9.08,550.44,14,38.8,86.8,8,324.24,0,15,50.2,86.56,95,244.48,88.92,1,1200.04,0
Result 1,Trial   106,Arena 4,Exploration,CH2_14.01.16_DVR3,M,0104,High,297.98,0.248317,42,200.04,200.04,873.76,53,70.8,870.56,0,0,-,2,8.6,983.48,2,881.92,0,3,12.44,860.56,44,105.64,864.68,1,1200.04,0
Result 1,Trial   107,Arena 1,Exploration,CH3_14.01.16_DVR3,F,0085,High,605.703,0.504752,26,336.92,336.92,203.2,44,185.84,202.28,13,29.52,308.96,22,89.52,307.96,9,438.16,0,15,138.8,184.08,33,286.16,199.28,1,1200.04,0
Result 1,Trial   107,Arena 2,Exploration,CH3_14.01.16_DVR3,F,0091,Low,142.746,0.118955,4,1091.96,1091.96,79.92,5,1,79.76,3,1.76,70.52,5,17.24,59.08,2,97.4,0,3,5.6,77.36,5,5.08,78.88,1,1200.04,0
Result 1,Trial   107,Arena 3,Exploration,CH3_14.01.16_DVR3,F,0139,Low,400.61,0.333842,30,528.12,528.12,108.52,33,321.88,108.16,2,10.16,539.56,11,41.56,537.96,5,197.72,0,7,71.92,104.48,32,402.28,106.08,1,1200.04,0
