,Trial,Arena,Assay,ChDate,Sex,LizID,Trt,TotalDist,Velocity,Hide_Freq,Hide_Duration,Hide_DurationOrig,Hide_LatFirst,Entry_Freq,Entry_Duration,Entry_LatFirst,NovItem_Freq,NovItem_Duration,NovItem_LatFirst,NovZone_Freq,NovZone_Duration,NovZone_LatFirst,Social_Freq,Social_Duration,Social_LatFirst,Neutral_Freq,Neutral_Duration,Neutral_LatFirst,Asocial_Freq,Asocial_Duration,Asocial_LatFirst,Arena_Freq,Arena_Duration,Arena_LatFirst
Result 1,Trial     6,Arena 3,Exploration,CH2_17.12.15_DVR1,F,0127,Low,353.883,0.294903,32,953.16,953.16,38,42,124.68,37.2,0,0,-,0,0,-,3,50.2,0,5,11.72,35.32,35,184.96,36.72,1,1200.04,0
Result 1,Trial     6,Arena 4,Exploration,CH2_17.12.15_DVR1,F,0046,High,613.94,0.511616,50,723.56,723.56,101.88,56,117.56,101.16,1,0.24,480.12,6,11,479.52,7,248.68,0,12,41.08,99.88,56,186.72,100.84,1,1200.04,0
Result 1,Trial     7,Arena 1,Exploration,CH3_17.12.15_DVR1,F,0097,Low,95.8906,0.0799088,7,1073.56,1073.56,112.48,11,4.6,108.4,0,0,-,0,0,-,1,105.08,0,1,1.72,105.08,7,19.68,106.8,1,1200.04,0
Result 1,Trial     7,Arena 2,Exploration,CH3_17.12.15_DVR1,M,0146,High,464.933,0.387444,10,117.64,117.64,534.76,16,209.48,533.12,1,3.92,835.56,6,92.96,526.72,4,629.4,0,9,89.12,527.64,15,363.88,531.4,1,1200.04,0
Result 1,Trial     7,Arena 3,Exploration,CH3_17.12.15_DVR1,F,0028,High,968.892,0.80741,25,196.64,196.64,135,45,252.56,134.8,3,6.76,361.56,34,123.64,119.24,9,426.36,0,20,91.28,132.12,37,485.76,134.2,1,1200.04,0
Result 1,Trial     7,Arena 4,Exploration,CH3_17.12.15_DVR1,F,0068,Low,118.124,0.0984368,26,996.48,996.48,72.68,31,88.16,72,0,0,-,1,2.72,67.72,1,69.88,0,1,1.52,69.88,26,132.16,71.4,1,1200.04,0
Result 1,Trial     8,Arena 1,Exploration,CH4_17.12.15_DVR1,F,0060,High,421.312,0.351093,11,567.36,567.36,389.84,18,20.88,389.2,0,0,-,1,0.72,387.68,2,422.08,0,4,7.92,388.32,13,202.68,388.88,1,1200.04,0
Result 1,Trial     8,Arena 2,Exploration,CH4_17.12.15_DVR1,F,0048,Low,748.422,0.623685,28,73.88,73.88,447.6,52,581.32,57.56,5,11.48,553.16,22,53.88,487.16,8,124.52,0,16,149.6,18.28,37,852.04,48.68,1,1200.04,0
Result 1,Trial     8,Arena 3,Exploration,CH4_17.12.15_DVR1,M,0002,High,421.436,0.351196,11,863.8,863.8,92.8,19,43.88,92.52,2,2.56,47.72,6,29.4,45.12,3,150.96,3.8,6,29.56,0,13,155.72,60.76,1,1200.04,0
Result 1,Trial     8,Arena 4,Exploration,CH4_17.12.15_DVR1,M,0135,High,42.3303,0.0352753,4,1147.8,1147.8,52.08,4,1.28,50.96,1,1.76,47.36,2,1.92,45.84,1,49.2,0,1,1.24,49.2,4,1.8,50.44,1,1200.04,0
