"Result","Trial","Arena","Assay","ChDate","Sex","LizID","LizID_etho","Trt","TotalDist","Velocity","NovItem_Freq","NovItem_Duration","NovItem_LatFirst","NovZone_Freq","NovZone_Duration","NovZone_LatFirst","Hide_Freq","Hide_Duration","Hide_DurationOrig","Hide_LatFirst","Entry_Freq","Entry_Duration","Entry_LatFirst","Social_Freq","Social_Duration","Social_LatFirst","Neutral_Freq","Neutral_Duration","Neutral_LatFirst","Asocial_Freq","Asocial_Duration","Asocial_LatFirst","Arena_Freq","Arena_Duration","Arena_LatFirst","LizID_nums","LizID_num","liz_capture_date","liz_collect_site","date_of_measurements","hlen","hwid","EndMass","mass","svl","tail_length","liz_status","liz_death_date","liz_notes"
"Result 1","Trial     2","Arena 4","Exploration","CH2_20.12.15_DVR1","F","ld0038",38,"High",630.224,"0.525187",2,15.56,47.2,7,29.84,45.48,28,763.96,763.96,50.36,29,48.6,49.76,6,156.64,0,15,78,1.32,34,201.44,2.2,1,1200.04,0,38,NA,"30/08/2015","UNSWKen","30/08/2015",7.29,5.22,1.172,1.1,40,61,"ALIVE","","missing digits, thus toeclip based on missing digit"
"Result 1","Trial     2","Arena 4","Exploration","CH2_16.12.15_DVR2","F","ld0080",80,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,"5/09/2015","SP","5/09/2015",7.18,5.11,1.272,1.1,41,50,"ALIVE","","few bite marks on ventral. Regrown tail, Isolated for mite treatment 27.12.16, not very infested at all, but was in enclosure with infested indiv."
"Result 1","Trial     2","Arena 4","Exploration","CH2_16.12.15_DVR3","F","ld0046",46,"High",492.587,"0.410489",1,0.88,1023.52,3,1.96,1022.96,8,7.68,7.68,800.6,18,939.4,1.84,3,60.16,956.92,7,53.04,816,13,1079.16,0,1,1200.04,0,NA,46,"2/09/2015","SP","2/09/2015",7.44,5.33,1.479,1.1,43,69,"ALIVE","",""
"Result 1","Trial     3","Arena 1","Exploration","CH3_20.12.15_DVR1","F","ld0074",74,"Low",82.16,"0.0684666",0,0,NA,0,0,NA,9,1170.08,1170.08,20.8,13,7.08,14.2,1,6.8,0,1,2.32,6.8,9,20.84,9.12,1,1200.04,0,74,NA,"1/09/2015","SP","1/09/2015",7.27,4.98,0.895,0.9,40,45,"DEAD","1/04/2016","bite marks (i.e. from copulation) on ventral. Regrown tail"
"Result 1","Trial     3","Arena 1","Exploration","CH3_16.12.15_DVR2","F","ld0084",84,"Low",879.208,"0.732673",0,0,NA,1,460.52,0,7,68.36,68.36,549.12,22,123.64,511.88,6,701.84,0,13,41.68,504.72,15,388.16,505.92,1,1200.04,0,84,NA,"5/09/2015","SP","5/09/2015",7.09,5.05,1.191,1.3,40,54,"ALIVE","",""
"Result 1","Trial     3","Arena 1","Exploration","CH3_16.12.15_DVR3","F","ld0097",97,"Low",160.672,"0.133894",0,0,NA,1,2,155.68,9,1022.48,1022.48,161,12,4.68,158.88,2,160.88,0,3,3.96,157.36,11,12.72,158.36,1,1200.04,0,NA,97,"5/09/2015","SP","5/09/2015",7.61,5.28,1.322,1.3,43,52,"DEAD","4/08/2017","bite marks (i.e. from copulation) on ventral. Regrown tail"
"Result 1","Trial     3","Arena 2","Exploration","CH3_16.12.15_DVR2","F","ld0057",57,"Low",1382,"1.15167",1,0.36,655.68,10,10.48,572.24,8,135.52,135.52,399.16,33,99.8,236.04,17,579.56,0,27,103.08,232.16,19,381.88,233.88,1,1200.04,0,57,NA,"1/09/2015","SP","1/09/2015",7.29,5.11,1.214,1.1,41,51,"ALIVE","","bite marks (i.e. from copulation) on ventral. Regrown tail"
"Result 1","Trial     3","Arena 3","Exploration","CH3_20.12.15_DVR1","F","ld0003",3,"Low",211.671,"0.176393",1,7.72,1010.44,5,11.52,1008.84,10,960.28,960.28,40.48,11,32.12,39.04,2,164.4,0,3,18.52,25.72,11,56.84,31.88,1,1200.04,0,3,NA,"28/08/2015","MP","28/08/2015",7.19,5,1.128,0.9,36,0,"ALIVE","","bleeding front L arm after escape & capture. TC updated on 6/12/2016, original tc0003"
"Result 1","Trial     3","Arena 3","Exploration","CH3_16.12.15_DVR3","F","ld0028",28,"High",730.439,"0.608699",0,0,NA,3,68.24,0,13,407.68,407.68,81.44,33,356.4,81.24,6,191.56,0,13,39.64,78.68,21,561.16,80.64,1,1200.04,0,NA,28,"30/08/2015","UNSWKen","30/08/2015",7.71,5.64,1.401,1.5,43,63,"DEAD","14/12/2016","missing digits, thus toeclip based on missing digit"
"Result 1","Trial     3","Arena 4","Exploration","CH3_16.12.15_DVR2","F","ld0066",66,"High",268.369,"0.223641",0,0,NA,0,0,NA,9,810.32,810.32,198.96,18,55.28,196.36,3,72.28,0,4,32.36,42.64,11,284,47,1,1200.04,0,66,NA,"1/09/2015","SP","1/09/2015",7,5.05,1.203,1.1,39,60,"ALIVE","",""
